diseases|sub-category|reference|link
|Fungal Eye Infections||https://www.cdc.gov/fungal/diseases/fungal-eye-infections/index.html
|Histoplasmosis [Histoplasma capsulatum Infection]||https://www.cdc.gov/fungal/diseases/histoplasmosis/index.html
|Mucormycosis||https://www.cdc.gov/fungal/diseases/mucormycosis/index.html
|Pneumocystis pneumonia (PCP) [Pneumocystis jirovecii pneumonia (previously Pneumocystis carinii) ]||https://www.cdc.gov/fungal/diseases/pneumocystis-pneumonia/
|Ringworm [Dermatophyte Infection]||https://www.cdc.gov/fungal/diseases/ringworm/index.html
|Sporotrichosis||https://www.cdc.gov/fungal/diseases/sporotrichosis/index.html
|Sporotrichosis [Sporothrix schenckii infection]||https://www.cdc.gov/fungal/diseases/sporotrichosis/index.html
|Valley Fever [Coccidioidomycosis]||https://www.cdc.gov/fungal/diseases/coccidioidomycosis/index.html
||see also Mold|https://www.cdc.gov/mold
Fungal Eye Infections|||https://www.cdc.gov/fungal/diseases/fungal-eye-infections/index.html
Fungal Meningitis|||https://www.cdc.gov/meningitis/fungal.html
||see also Meningitis [Meningococcal Disease]|https://www.cdc.gov/meningitis/
Fungal Pneumonia — see Valley Fever|||https://www.cdc.gov/fungal/diseases/coccidioidomycosis/index.html
FXS (Fragile X Syndrome)|||https://www.cdc.gov/ncbddd/single_gene/fragilex.htm
GAE (Acanthamoeba) (Granulomatous Amebic Encephalitis (Acanthamoeba))|||https://www.cdc.gov/parasites/acanthamoeba/
GAE (Granulomatous amebic encephalitis)|||https://www.cdc.gov/parasites/balamuthia
GAS (Group A Strep Infection)|||https://www.cdc.gov/groupAstrep/index.html
Gastrointestinal Diseases from Animals [Zoonotic enteric diseases]|||https://www.cdc.gov/zoonotic/gi/index.html
GBS (Group B Strep Infection)|||https://www.cdc.gov/groupbstrep/index.html
GBS and Menactra Meningococcal Vaccine — see Guillain-Barré Syndrome and Menactra Meningococcal Vaccine|||https://www.cdc.gov/vaccinesafety/Concerns/gbsfactsheet.html
GDDER (Global Disease Detection and Emergency Response)|||https://www.cdc.gov/globalhealth/gdder/
Genetics and Colorectal Cancer — see Colorectal Cancer and Genetics|||https://www.cdc.gov/genomics/resources/diseases/colorectal.htm
Genetics and Heart Disease — see Heart Disease and Genetics|||https://www.cdc.gov/genomics/resources/diseases/heart.htm
Genetics and Mental Health — see Mental Health and Genetics|||https://www.cdc.gov/genomics/resources/diseases/mental.htm
Genetics and Obesity — see Obesity and Genetics|||https://www.cdc.gov/genomics/resources/diseases/obesity/index.htm
Genetics and Skin Cancer — see Skin Cancer and Genetics|||https://www.cdc.gov/genomics/resources/diseases/skin.htm
Genetics and Stroke — see Stroke and Genetics|||https://www.cdc.gov/genomics/resources/diseases/stroke.htm
Genital Candidiasis (VVC) [Vulvovaginal Candidiasis]|||https://www.cdc.gov/fungal/diseases/candidiasis/genital/index.html
Genital Herpes [Herpes Simplex Virus Infection]|||https://www.cdc.gov/std/Herpes/default.htm
Genital Warts — see Human Papillomavirus Infection|||https://www.cdc.gov/hpv/
German Measles (Rubella Virus)|||https://www.cdc.gov/rubella/index.html
Giardia Infection [Giardiasis]|||https://www.cdc.gov/parasites/giardia/
Giardiasis — see Giardia Infection|||https://www.cdc.gov/parasites/giardia/
Glanders [Burkholderia mallei]|||https://www.cdc.gov/glanders/
Global Disease Detection and Emergency Response (GDDER)|||https://www.cdc.gov/globalhealth/gdder/
Global Health Security|||https://www.cdc.gov/globalhealth/security/
||see also Global Health|https://www.cdc.gov/globalhealth/
Global Measles Elimination|||https://www.cdc.gov/globalhealth/measles/
||see also Global Health|https://www.cdc.gov/globalhealth/
||see also Global Measles Elimination|https://www.cdc.gov/globalhealth/measles/
||see also Immunization|https://www.cdc.gov/vaccines/
||see also Measles|https://www.cdc.gov/measles/index.html
||see also Measles Vaccination|https://www.cdc.gov/vaccines/vpd-vac/measles/default.htm
Gnathostoma Infection — see Gnathostomiasis|||https://www.cdc.gov/parasites/gnathostoma/
Gnathostomiasis [Gnathostoma Infection]|||https://www.cdc.gov/parasites/gnathostoma/
Gonorrhea [Neisseria gonorrhoeae Infection]|||https://www.cdc.gov/std/Gonorrhea/
Gout|||https://www.cdc.gov/arthritis/basics/gout.htm
Granulomatous amebic encephalitis (GAE) — see Balamuthia Infection|||https://www.cdc.gov/parasites/balamuthia
Granulomatous Amebic Encephalitis (Acanthamoeba) (GAE (Acanthamoeba)) — see Acanthamoeba Infection|||https://www.cdc.gov/parasites/acanthamoeba/
Group A Strep Infection (GAS) [Group A Streptococcal Infection]|||https://www.cdc.gov/groupAstrep/index.html
Group A Streptococcal Infection — see Group A Strep Infection|||https://www.cdc.gov/groupAstrep/index.html
Group B Strep Infection (GBS) [Group B Streptococcal Infection]|||https://www.cdc.gov/groupbstrep/index.html
Group B Streptococcal Infection — see Group B Strep Infection|||https://www.cdc.gov/groupbstrep/index.html
Guillain-Barré Syndrome and Menactra Meningococcal Vaccine|||https://www.cdc.gov/vaccinesafety/Concerns/gbsfactsheet.html
Guinea Worm Disease [Dracunculiasis]|||https://www.cdc.gov/parasites/guineaworm/
Gynecologic Cancers|||https://www.cdc.gov/cancer/gynecologic/
|Cervical Cancer||https://www.cdc.gov/cancer/cervical/
|Ovarian Cancer||https://www.cdc.gov/cancer/ovarian/index.htm
|Uterine Cancer||https://www.cdc.gov/cancer/uterine/
|Vaginal and Vulvar Cancers||https://www.cdc.gov/cancer/vagvulv/
H3N2v influenza|||https://www.cdc.gov/flu/swineflu/h3n2v-cases.htm
||see also Variant Viruses - see Influenza|https://www.cdc.gov/flu/swineflu/variant.htm
H5N1 — see Avian Influenza|||https://www.cdc.gov/flu/avianflu/
HAB (Harmful Algal Bloom (HAB)-Associated Illness )|||https://www.cdc.gov/habs/index.html
Haemophilus influenzae Infection (including Hib Infection)|||https://www.cdc.gov/hi-disease/index.html
Haemophilus influenzae Serotype b — see Hib Infection|||https://www.cdc.gov/hi-disease/index.html
Hand, Foot, and Mouth Disease (HFMD)|||https://www.cdc.gov/hand-foot-mouth/index.html
Hansen's Disease|||https://www.cdc.gov/leprosy/
Hantavirus Pulmonary Syndrome (HPS)|||https://www.cdc.gov/hantavirus/
Harmful Algal Bloom (HAB)-Associated Illness  (HAB)|||https://www.cdc.gov/habs/index.html
Hazardous Drug Exposures in Healthcare|||https://www.cdc.gov/niosh/topics/hazdrug/
Head Lice [Pediculus humanus capitis]|||https://www.cdc.gov/parasites/lice/head/
Health Disparities in Cancer|||https://www.cdc.gov/cancer/healthdisparities/
Health Disparities in HIV/AIDS, Viral Hepatitis, STDs, and TB|||https://www.cdc.gov/nchhstp/healthdisparities/
Health Security — see Global Health Security|||https://www.cdc.gov/globalhealth/security/
Healthcare Associated Infections|||https://www.cdc.gov/hai/
|surgical site infection (SSI)||https://www.cdc.gov/HAI/ssi/ssi.html
Healthy Pets, Healthy People — see Animal-Related Diseases|||https://www.cdc.gov/healthypets/
Healthy Weight|||https://www.cdc.gov/healthyweight/index.html
Hearing impairment — see Hearing loss, environmental|||https://www.cdc.gov/nceh/hearing_loss/default.html
Hearing Loss in Children|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Hearing loss, environmental [Hearing impairment]|||https://www.cdc.gov/nceh/hearing_loss/default.html
Hearing, Early Detection & Intervention|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Heart Disease [Cardiovascular Health]|||https://www.cdc.gov/heartdisease/
Heart Disease and Genetics|||https://www.cdc.gov/genomics/resources/diseases/heart.htm
||see also Genetics and Genomics|https://www.cdc.gov/genomics/
||see also Heart Disease [Cardiovascular Health]|https://www.cdc.gov/heartdisease/
||see also Heart Disease Awareness|https://www.cdc.gov/Features/HeartMonth/
Heat Stress|||https://www.cdc.gov/niosh/topics/heatstress/
Hemoglobinopathies|||https://www.cdc.gov/ncbddd/hemoglobinopathies/index.html
Hemophilia|||https://www.cdc.gov/ncbddd/hemophilia/
Hemophilia Treatment Centers (HTC)|||https://www.cdc.gov/ncbddd/hemophilia/HTC.html
Hemorrhagic Fevers, Viral — see Viral Hemorrhagic Fevers|||https://www.cdc.gov/vhf/virus-families/index.html
Hendra Virus Disease (HeV Infection)|||https://www.cdc.gov/vhf/hendra/index.html
Hepatitis A Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/hepa/default.htm
Hepatitis B Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/hepb/default.htm
Hepatitis, Viral — see Viral Hepatitis|||https://www.cdc.gov/hepatitis/index.htm
Hereditary Bleeding Disorders — see Hemophilia|||https://www.cdc.gov/ncbddd/hemophilia/
Herpes B virus — see B virus Infection|||https://www.cdc.gov/herpesbvirus/index.html
Herpes Simplex Virus Infection — see Genital Herpes|||https://www.cdc.gov/std/Herpes/default.htm
Herpes Zoster — see Shingles|||https://www.cdc.gov/shingles/index.html
Herpes Zoster Vaccination — see Shingles Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/shingles/default.htm
Herpes, Genital — see Genital Herpes|||https://www.cdc.gov/std/Herpes/default.htm
Herpesvirus B — see B virus Infection|||https://www.cdc.gov/herpesbvirus/index.html
Herpesvirus simiae — see B virus Infection|||https://www.cdc.gov/herpesbvirus/index.html
Heterophyes Infection [Heterophyiasis]|||https://www.cdc.gov/dpdx/heterophyiasis/tx.html
Heterophyiasis — see Heterophyes Infection|||https://www.cdc.gov/dpdx/heterophyiasis/tx.html
HeV Infection (Hendra Virus Disease)|||https://www.cdc.gov/vhf/hendra/index.html
HFMD (Hand, Foot, and Mouth Disease)|||https://www.cdc.gov/hand-foot-mouth/index.html
Hib Infection [Haemophilus influenzae Serotype b]|||https://www.cdc.gov/hi-disease/index.html
Hib Vaccine (Haemophilus influenzae Serotype b Vaccination)|||https://www.cdc.gov/vaccines/vpd-vac/hib/default.htm
High Blood Pressure|||https://www.cdc.gov/bloodpressure/
Histoplasma capsulatum Infection [Histoplasmosis]|||https://www.cdc.gov/fungal/diseases/histoplasmosis/index.html
Histoplasmosis — see Histoplasma capsulatum Infection|||https://www.cdc.gov/fungal/diseases/histoplasmosis/index.html
HIV/AIDS|||https://www.cdc.gov/hiv/
HIV/AIDS and STDs|||https://www.cdc.gov/std/hiv/default.htm
Hookworm, Human [Ancylostoma duodenale Infection, Necator americanus Infection] — see Human Hookworm|||https://www.cdc.gov/parasites/hookworm
Hookworm, Zoonotic — see Zoonotic Hookworm|||https://www.cdc.gov/parasites/zoonotichookworm/
Horses, Infections from|||https://www.cdc.gov/healthypets/pets/horses.html
Hot Tub Rash [Pseudomonas dermatitis Infection]|||https://www.cdc.gov/healthyswimming/derm.htm
HPIV (Human Parainfluenza Viruses)|||https://www.cdc.gov/parainfluenza/index.html
HPS (Hantavirus Pulmonary Syndrome)|||https://www.cdc.gov/hantavirus/
HPV Infection (Human Papillomavirus Infection)|||https://www.cdc.gov/hpv/
HPV Vaccination (Human Papillomavirus Vaccination)|||https://www.cdc.gov/vaccines/vpd-vac/hpv/default.htm
HPV-Associated Cancers|||https://www.cdc.gov/cancer/hpv/
HTC (Hemophilia Treatment Centers)|||https://www.cdc.gov/ncbddd/hemophilia/HTC.html
Human Ehrlichiosis — see Ehrlichiosis, Human|||https://www.cdc.gov/ehrlichiosis/
Human Hookworm [Ancylostoma duodenale Infection, Necator americanus Infection]|||https://www.cdc.gov/parasites/hookworm
Human Immunodeficiency Virus — see HIV/AIDS|||https://www.cdc.gov/hiv/
Human Papillomavirus Infection (HPV Infection)|||https://www.cdc.gov/hpv/
Human Papillomavirus Vaccination (HPV Vaccination)|||https://www.cdc.gov/vaccines/vpd-vac/hpv/default.htm
Human Parainfluenza Viruses (HPIV)|||https://www.cdc.gov/parainfluenza/index.html
Hymenolepis Infection — see Dwarf Tapeworm|||https://www.cdc.gov/parasites/hymenolepis/
Hypertension — see High Blood Pressure|||https://www.cdc.gov/bloodpressure/
Hyperthermia — see Extreme Heat|||https://emergency.cdc.gov/disasters/extremeheat/index.asp
Hypothermia — see Extreme Cold|||https://emergency.cdc.gov/disasters/winter/
IBD (Inflammatory Bowel Disease)|||https://www.cdc.gov/ibd/
IMMPaCt (International Micronutrient Malnutrition Prevention and Control Program) — see Micronutrient Malnutrition|||https://www.cdc.gov/nccdphp/dnpa/immpact/index.htm
Impetigo — see Group A Strep Infection|||https://www.cdc.gov/groupAstrep/index.html
including Hib Infection (Haemophilus influenzae Infection)|||https://www.cdc.gov/hi-disease/index.html
Infectious Mononucleosis — see Epstein-Barr Virus Infection|||https://www.cdc.gov/epstein-barr/index.html
Infertility|||https://www.cdc.gov/reproductivehealth/Infertility/index.htm
Inflammatory Bowel Disease (IBD)|||https://www.cdc.gov/ibd/
Influenza|||https://www.cdc.gov/flu/index.htm
|H1N1 Flu||https://www.cdc.gov/h1n1flu/
|People at High Risk||https://www.cdc.gov/flu/about/disease/high_risk.htm
|Seasonal Flu||https://www.cdc.gov/flu/
|Swine Influenza||https://www.cdc.gov/flu/swineflu/
||see also H7N9 Influenza|https://www.cdc.gov/flu/avianflu/h7n9-virus.htm
||see also Influenza|https://www.cdc.gov/flu/index.htm
Influenza and Cancer — see Cancer and Flu|||https://www.cdc.gov/cancer/flu/
Influenza in Pigs — see Swine Influenza|||https://www.cdc.gov/flu/swineflu/
Influenza Vaccination|||https://www.cdc.gov/flu/index.htm
Influenza, Avian — see Avian Influenza|||https://www.cdc.gov/flu/avianflu/
Influenza, Pandemic — see Pandemic Flu|||https://www.cdc.gov/flu/pandemic-resources/
Injury, Healthy Swimming and Recreational Water|||https://www.cdc.gov/healthywater/swimming/injury.html
International Micronutrient Malnutrition Prevention & Control Program (IMMPaCt) — see Micronutrient Malnutrition|||https://www.cdc.gov/nccdphp/dnpa/immpact/index.htm
Intestinal Amebae Infection, Nonpathogenic — see Nonpathogenic (Harmless) Intestinal Protozoa|||https://www.cdc.gov/parasites/nonpathprotozoa
Invasive Candidiasis|||https://www.cdc.gov/fungal/diseases/candidiasis/invasive/index.html
Isospora Infection [Isosporiasis] — see Cystoisospora Infection|||https://www.cdc.gov/parasites/cystoisospora/index.html
Japanese Encephalitis (JE)|||https://www.cdc.gov/japaneseencephalitis/
Japanese Encephalitis (JE) Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/j-enceph/default.htm
Jaundice — see Newborn Jaundice|||https://www.cdc.gov/ncbddd/dd/kernichome.htm
JE (Japanese Encephalitis)|||https://www.cdc.gov/japaneseencephalitis/
JE (Japanese Encephalitis) Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/j-enceph/default.htm
K. pneumoniae (Klebsiella pneumoniae)|||https://www.cdc.gov/HAI/organisms/klebsiella/klebsiella.html
Kala-Azar — see Leishmania Infection|||https://www.cdc.gov/parasites/leishmaniasis/index.html
Kawasaki Disease (KD)|||https://www.cdc.gov/kawasaki/
Kawasaki Syndrome — see Kawasaki Disease|||https://www.cdc.gov/kawasaki/
KD (Kawasaki Disease)|||https://www.cdc.gov/kawasaki/
Keratitis, Acanthamoeba — see Acanthamoeba Infection|||https://www.cdc.gov/parasites/acanthamoeba/
Keratitis, Fungal — see Fungal Eye Infections|||https://www.cdc.gov/fungal/diseases/fungal-eye-infections/index.html
Kernicterus — see Newborn Jaundice|||https://www.cdc.gov/ncbddd/dd/kernichome.htm
KFD (Kyasanur Forest disease)|||https://www.cdc.gov/vhf/kyasanur/
Kidney Disease (CKD)|||https://www.cdc.gov/ckd
Klebsiella pneumoniae (K. pneumoniae)|||https://www.cdc.gov/HAI/organisms/klebsiella/klebsiella.html
Kyasanur Forest disease (KFD)|||https://www.cdc.gov/vhf/kyasanur/
La Crosse Encephalitis (LAC)|||https://www.cdc.gov/lac
La Crosse Encephalitis virus (LACV) — see La Crosse Encephalitis|||https://www.cdc.gov/lac
LAC (La Crosse Encephalitis)|||https://www.cdc.gov/lac
LACV (La Crosse Encephalitis virus)|||https://www.cdc.gov/lac
Lassa Fever|||https://www.cdc.gov/vhf/lassa/
Latex Allergies|||https://www.cdc.gov/niosh/topics/latex/
LCM (Lymphocytic Choriomeningitis)|||https://www.cdc.gov/vhf/lcm/index.html
Lead Poisoning|||https://www.cdc.gov/nceh/lead/
Legionellosis — see Legionnaires' Disease|||https://www.cdc.gov/legionella/index.html
Legionnaires' Disease [Legionellosis]|||https://www.cdc.gov/legionella/index.html
Leishmania Infection [Leishmaniasis]|||https://www.cdc.gov/parasites/leishmaniasis/index.html
Leishmaniasis — see Leishmania Infection|||https://www.cdc.gov/parasites/leishmaniasis/index.html
Leprosy — see Hansen's Disease|||https://www.cdc.gov/leprosy/
Leptospira Infection [Leptospirosis]|||https://www.cdc.gov/leptospirosis/
Leptospirosis — see Leptospira Infection|||https://www.cdc.gov/leptospirosis/
Lice|||https://www.cdc.gov/parasites/lice/
Lice, Body — see Body Lice|||https://www.cdc.gov/parasites/lice/body/
Lice, Head — see Head Lice|||https://www.cdc.gov/parasites/lice/head/
Lice, Pubic — see Pubic Lice|||https://www.cdc.gov/parasites/lice/pubic/
Listeria Infection [Listeriosis]|||https://www.cdc.gov/listeria/index.html
Listeriosis — see Listeria Infection|||https://www.cdc.gov/listeria/index.html
Liver Disease and Hepatitis — see Viral Hepatitis|||https://www.cdc.gov/hepatitis/index.htm
Loa loa Infection — see Loiasis|||https://www.cdc.gov/parasites/loiasis/
Lockjaw — see Tetanus Disease|||https://www.cdc.gov/tetanus/index.html
Lockjaw Vaccination — see Tetanus (Lockjaw) Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/tetanus/default.htm
Loiasis [Loa loa Infection]|||https://www.cdc.gov/parasites/loiasis/
Lou Gehrig's Disease — see ALS|||https://wwwn.cdc.gov/als/
LUHF (Lujo Hemorrhagic Fever)|||https://www.cdc.gov/vhf/lujo/index.html
Lujo Hemorrhagic Fever (LUHF)|||https://www.cdc.gov/vhf/lujo/index.html
Lung Cancer|||https://www.cdc.gov/cancer/lung/
Lupus (SLE) [Systemic lupus erythematosus]|||https://www.cdc.gov/lupus/
Lyme Disease [Borrelia burgdorferi Infection]|||https://www.cdc.gov/lyme/
Lymphatic Filariasis|||https://www.cdc.gov/parasites/lymphaticfilariasis/
Lymphedema — see Lymphatic Filariasis|||https://www.cdc.gov/parasites/lymphaticfilariasis/
Lymphocytic Choriomeningitis (LCM)|||https://www.cdc.gov/vhf/lcm/index.html
MAC (Mycobacterium avium Complex)|||https://www.cdc.gov/HAI/organisms/mycobacterium.html
Mad Cow Disease (BSE) — see Bovine Spongiform Encephalopathy|||https://www.cdc.gov/prions/bse/index.html
Malaria|||https://www.cdc.gov/malaria
Marburg Hemorrhagic Fever|||https://www.cdc.gov/vhf/marburg/
Marine Toxins|||https://www.cdc.gov/nczved/divisions/dfbmd/diseases/marine_toxins
MD (Muscular Dystrophy)|||https://www.cdc.gov/ncbddd/musculardystrophy/index.html
MDR TB (Multidrug-Resistant TB)|||https://www.cdc.gov/tb/topic/drtb/default.htm
Measles|||https://www.cdc.gov/measles/index.html
Measles Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/measles/default.htm
Melioidosis [Burkholderia pseudomallei Infection]|||https://www.cdc.gov/melioidosis/index.html
Men's Health|||https://www.cdc.gov/men
Meningitis|||https://www.cdc.gov/meningitis/index.html
||see also Meningitis|https://www.cdc.gov/meningitis/index.html
Meningococcal Disease|||https://www.cdc.gov/meningococcal/index.html
Meningococcal Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/mening/default.htm
Mental Health|||https://www.cdc.gov/mentalhealth/
Mental Health and Genetics|||https://www.cdc.gov/genomics/resources/diseases/mental.htm
||see also Genetics and Genomics|https://www.cdc.gov/genomics/
||see also Mental Health|https://www.cdc.gov/mentalhealth/
Mental Retardation|||https://www.cdc.gov/ncbddd/dd/ddmr.htm
MERS-CoV (Middle East Respiratory Syndrome Coronavirus)|||https://www.cdc.gov/coronavirus/mers/index.html
Methicillin Resistant Staphylococcus aureus — see MRSA|||https://www.cdc.gov/mrsa
microalgal bloom-associated illness — see Harmful Algal Bloom (HAB)-Associated Illness|||https://www.cdc.gov/habs/index.html
Microcephaly|||https://www.cdc.gov/ncbddd/birthdefects/microcephaly.html
||see also Zika Virus Infection|https://www.cdc.gov/zika/index.html
||see also Zika Virus Infection and Pregnancy|https://www.cdc.gov/zika/pregnancy/index.html
Micronutrient Malnutrition|||https://www.cdc.gov/nccdphp/dnpa/immpact/index.htm
Microsporidia Infection|||https://www.cdc.gov/dpdx/microsporidiosis/index.html
Middle East Respiratory Syndrome Coronavirus (MERS-CoV)|||https://www.cdc.gov/coronavirus/mers/index.html
||see also Coronavirus (CoV)|https://www.cdc.gov/coronavirus/index.html
MMR Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/combo-vaccines/mmrv/vacopt.htm
Molluscum Contagiosum|||https://www.cdc.gov/ncidod/dvrd/molluscum
Monkey B virus — see B virus Infection|||https://www.cdc.gov/herpesbvirus/index.html
Monkeypox|||https://www.cdc.gov/poxvirus/monkeypox/
Monkeypox Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/monkeypox/default.htm
Mononucleosis, Infectious — see Epstein-Barr Virus Infection|||https://www.cdc.gov/epstein-barr/index.html
Motor Vehicle Injuries|||https://www.cdc.gov/Motorvehiclesafety/index.html
Mouse and Rat Control — see Rodents, Diseases from|||https://www.cdc.gov/rodents
MRSA [Methicillin Resistant Staphylococcus aureus]|||https://www.cdc.gov/mrsa
Mucormycosis|||https://www.cdc.gov/fungal/diseases/mucormycosis/index.html
Mucus — see Cold, Common|||https://www.cdc.gov/features/rhinoviruses/
Multidrug-Resistant TB (MDR TB)|||https://www.cdc.gov/tb/topic/drtb/default.htm
Multiple organ dysfunction syndrome — see Sepsis|||https://www.cdc.gov/sepsis/index.html
Mumps|||https://www.cdc.gov/mumps/index.html
Mumps Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/mumps/default.htm
Muscular Dystrophy (MD)|||https://www.cdc.gov/ncbddd/musculardystrophy/index.html
Musculoskeletal Disorders — see Ergonomic and Musculoskeletal Disorders|||https://www.cdc.gov/niosh/topics/ergonomics/
Mycobacterium abscessus Infection|||https://www.cdc.gov/HAI/organisms/mycobacterium.html
Mycobacterium avium Complex (MAC)|||https://www.cdc.gov/HAI/organisms/mycobacterium.html
Mycobacterium tuberculosis Infection — see Tuberculosis|||https://www.cdc.gov/tb
Mycoplasma pneumoniae Infection|||https://www.cdc.gov/pneumonia/atypical/mycoplasma/index.html
Mycotic diseases — see Fungal diseases|||https://www.cdc.gov/fungal/index.html
Myelomeningocele — see Spina Bifida|||https://www.cdc.gov/ncbddd/spinabifida
Myiasis|||https://www.cdc.gov/parasites/myiasis/
Naegleria Infection [Primary Amebic Meningoencephalitis (PAM)]|||https://www.cdc.gov/parasites/naegleria/
Nairovirus Infection — see Crimean-Congo hemorrhagic fever|||https://www.cdc.gov/vhf/crimean-congo/
National Amyotrophic Lateral Sclerosis (ALS) Registry — see ALS|||https://wwwn.cdc.gov/als/
Necrotizing Fasciitis — see Group A Strep Infection|||https://www.cdc.gov/groupAstrep/index.html
Neglected Tropical Diseases (NTD)|||https://www.cdc.gov/globalhealth/ntd/
Neisseria gonorrhoeae Infection — see Gonorrhea|||https://www.cdc.gov/std/Gonorrhea/
Pneumocystis jirovecii pneumonia (previously Pneumocystis carinii)  — see Pneumocystis pneumonia|||https://www.cdc.gov/fungal/diseases/pneumocystis-pneumonia/
Neurocysticercosis — see Cysticercosis|||https://www.cdc.gov/parasites/cysticercosis/
Newborn Hearing — see Hearing, Early Detection & Intervention|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Newborn Jaundice [Kernicterus]|||https://www.cdc.gov/ncbddd/dd/kernichome.htm
Nocardia asteroides Infection — see Nocardiosis|||https://www.cdc.gov/nocardiosis
Nocardiosis [Nocardia asteroides Infection]|||https://www.cdc.gov/nocardiosis
noise exposure — see Hearing loss, environmental|||https://www.cdc.gov/nceh/hearing_loss/default.html
noise, environmental — see Hearing loss, environmental|||https://www.cdc.gov/nceh/hearing_loss/default.html
noise, recreational — see Hearing loss, environmental|||https://www.cdc.gov/nceh/hearing_loss/default.html
Non-Polio Enterovirus Infections|||https://www.cdc.gov/non-polio-enterovirus/index.html
Nonpathogenic (Harmless) Intestinal Protozoa|||https://www.cdc.gov/parasites/nonpathprotozoa
Norovirus Infection|||https://www.cdc.gov/norovirus/index.html
Norwalk-like Viruses (NLV) — see Norovirus Infection|||https://www.cdc.gov/norovirus/index.html
NTD (Neglected Tropical Diseases)|||https://www.cdc.gov/globalhealth/ntd/
Nutrition|||https://www.cdc.gov/nccdphp/dnpa/nutrition.htm
OA (Osteoarthritis)|||https://www.cdc.gov/arthritis/basics/osteoarthritis.htm
Obesity and Genetics|||https://www.cdc.gov/genomics/resources/diseases/obesity/index.htm
Obesity and Overweight|||https://www.cdc.gov/obesity/index.html
Obesity and Overweight, Childhood — see Childhood Overweight and Obesity|||https://www.cdc.gov/obesity/childhood/index.html
Occupational Cancers|||https://www.cdc.gov/niosh/topics/cancer/
Occupational Skin Conditions — see Skin Conditions, Occupational|||https://www.cdc.gov/niosh/topics/skin/
Occupational Stress — see Stress, Occupational|||https://www.cdc.gov/niosh/topics/stress
OHF (Omsk hemorrhagic fever)|||https://www.cdc.gov/vhf/omsk/index.html
Omsk hemorrhagic fever (OHF)|||https://www.cdc.gov/vhf/omsk/index.html
Onchocerciasis — see River Blindness|||https://www.cdc.gov/parasites/onchocerciasis/index.html
Opisthorchis Infection|||https://www.cdc.gov/parasites/opisthorchis/
Oral Cancer|||https://www.cdc.gov/OralHealth/topics/cancer.htm
Orf Virus Infection — see Sore Mouth Infection|||https://www.cdc.gov/ncidod/dvrd/orf_virus/
Oropharyngeal Candidiasis — see Thrush|||https://www.cdc.gov/fungal/diseases/candidiasis/thrush/index.html
Oroya fever — see Carrión’s disease|||https://www.cdc.gov/bartonella
Osteoarthritis (OA)|||https://www.cdc.gov/arthritis/basics/osteoarthritis.htm
Otitis Media — see Ear Infection|||https://www.cdc.gov/getsmart/community/for-patients/common-illnesses/ear-infection.html
Outbreaks|||https://www.cdc.gov/outbreaks/index.html
Ovarian and Breast Cancer and Family Health History — see Breast and Ovarian Cancer and Family Health History|||https://www.cdc.gov/genomics/resources/diseases/breast_ovarian_cancer/
Ovarian Cancer|||https://www.cdc.gov/cancer/ovarian/index.htm
Overweight and Obesity — see Obesity and Overweight|||https://www.cdc.gov/obesity/index.html
Overweight and Obesity, Childhood — see Childhood Overweight and Obesity|||https://www.cdc.gov/obesity/childhood/index.html
PAD (Peripheral Arterial Disease)|||https://www.cdc.gov/DHDSP/data_statistics/fact_sheets/fs_PAD.htm
Pandemic Flu|||https://www.cdc.gov/flu/pandemic-resources/
||see also Influenza|https://www.cdc.gov/flu/index.htm
Paragonimiasis — see Paragonimus Infection|||https://www.cdc.gov/parasites/paragonimus/
Paragonimus Infection [Paragonimiasis]|||https://www.cdc.gov/parasites/paragonimus/
Parainfluenza — see Human Parainfluenza Viruses|||https://www.cdc.gov/parainfluenza/index.html
Parasitic Diseases|||https://www.cdc.gov/parasites/
Parvovirus B19 Infection — see Fifth Disease|||https://www.cdc.gov/parvovirusB19/index.html
PCP (Pneumocystis pneumonia)|||https://www.cdc.gov/fungal/diseases/pneumocystis-pneumonia/
PCV (Pneumococcal Conjugate Vaccine)|||https://www.cdc.gov/vaccines/vpd-vac/pneumo/default.htm
PE (Pulmonary Embolism)|||https://www.cdc.gov/ncbddd/dvt/index.html
Pedestrian Injury|||https://www.cdc.gov/ncipc/duip/spotlite/walk_to_school.htm
Pediculus humanus capitis — see Head Lice|||https://www.cdc.gov/parasites/lice/head/
Pediculus humanus corporis — see Body Lice|||https://www.cdc.gov/parasites/lice/body/
Pelvic Inflammatory Disease (PID)|||https://www.cdc.gov/std/PID/STDFact-PID.htm
